Fecha;Prof NF (metros);Las Flores Precip (mm)
01/02/2007;;
02/02/2007;;
03/02/2007;;
04/02/2007;;13
05/02/2007;3.01;
06/02/2007;3.01;0
07/02/2007;3.04;0
08/02/2007;3.05;3
09/02/2007;3.06;0
10/02/2007;3.08;0
11/02/2007;3.09;0
12/02/2007;3.1;0
13/02/2007;3.1;0
14/02/2007;3.13;0
15/02/2007;3.14;23
16/02/2007;3.15;4
17/02/2007;3.16;0
18/02/2007;3.17;0
19/02/2007;3.18;0
20/02/2007;3.19;0
21/02/2007;3.2;0
22/02/2007;3.21;0
23/02/2007;3.21;0
24/02/2007;3.21;0.4
25/02/2007;3.22;12
26/02/2007;3.24;42
27/02/2007;3.25;0.1
28/02/2007;3.21;18
01/03/2007;3.2;15
02/03/2007;3.12;0
03/03/2007;3.04;0.2
04/03/2007;3;0
05/03/2007;2.98;0
06/03/2007;2.97;0
07/03/2007;2.98;9
08/03/2007;2.98;7
09/03/2007;2.95;0
10/03/2007;2.91;0
11/03/2007;2.91;0
12/03/2007;2.9;0
13/03/2007;2.91;0
14/03/2007;2.91;0
15/03/2007;2.91;0
16/03/2007;2.92;3
17/03/2007;2.93;0
18/03/2007;2.93;0
19/03/2007;2.94;0
20/03/2007;2.94;0
21/03/2007;2.94;0
22/03/2007;2.95;56
23/03/2007;2.91;0
24/03/2007;2.73;0
25/03/2007;2.58;0
26/03/2007;2.51;62
27/03/2007;2.47;0
28/03/2007;2.24;2
29/03/2007;2.15;12
30/03/2007;2.1;19
31/03/2007;2.07;0
01/04/2007;2.04;2
02/04/2007;2.01;0
03/04/2007;1.98;0
04/04/2007;1.97;0
05/04/2007;1.97;0
06/04/2007;1.97;0
07/04/2007;1.97;0
08/04/2007;1.98;0
09/04/2007;1.98;5
10/04/2007;1.98;11
11/04/2007;1.99;18
12/04/2007;1.98;0
13/04/2007;1.96;0
14/04/2007;1.96;0.6
15/04/2007;1.97;0
16/04/2007;1.98;0.2
17/04/2007;1.97;0.6
18/04/2007;1.98;0
19/04/2007;1.99;2
20/04/2007;1.99;1
21/04/2007;2;3
22/04/2007;2;22
23/04/2007;1.96;0
24/04/2007;1.93;0
25/04/2007;1.91;0
26/04/2007;1.91;0
27/04/2007;1.92;0
28/04/2007;1.92;0
29/04/2007;1.93;0
30/04/2007;1.93;12
01/05/2007;1.93;11
02/05/2007;1.93;0
03/05/2007;1.93;12
04/05/2007;1.92;0
05/05/2007;1.89;0
06/05/2007;;0
07/05/2007;;0
08/05/2007;;0
09/05/2007;;0
10/05/2007;;0
11/05/2007;;0
12/05/2007;;0
13/05/2007;;0
14/05/2007;;0
